Time,Job,Money_Amount_In,Money_Amount_Out,Freelancer,Day,Date,Number_of_Transfers,Latitude_Sender,Longitude_Sender,Latitude_Receiver,Longitude_Receiver,Total_Money,Fraud,Transaction_Distance,Hour
10:55,Engineer,0,86.19,0,Sat,2019-12-07,1,34.0287,-118.4924,33.287851,-118.74097,86.19,0,0.781437320391723,10
13:10,Teacher,0,85.81,0,Fri,2020-04-03,1,36.7154,-89.6287,36.53995,-89.857416,85.81,0,0.2882597980225553,13
07:07,Student,0,99.3,0,Wed,2019-12-04,1,39.9636,-79.7853,39.582872,-78.83855,99.3,0,1.0204358737735628,7
18:43,Student,0,42.09,0,Sun,2019-06-30,1,48.2777,-112.8456,48.310513,-112.837535,42.09,0,0.0337896018621092,18
19:57,Freelancer,0,4.24,1,Mon,2019-04-15,1,36.4715,-82.4834,37.329094,-82.070746,4.24,0,0.9517094055183024,19
11:18,Engineer,0,72.75,0,Wed,2019-08-28,1,44.1554,-72.4847,43.168748,-72.740002,72.75,0,1.019147330030354,11
06:05,Student,0,7.87,0,Wed,2019-06-12,1,41.4193,-99.3844,41.528425,-99.368091,7.87,0,0.1103369797755924,6
16:49,Student,0,5.53,0,Fri,2019-05-03,1,41.0472,-79.8089,40.146899,-79.386339,5.53,0,0.994534911062446,16
08:44,Engineer,0,89.91,0,Fri,2019-04-19,1,42.728,-71.181,42.404258,-71.19688000000001,89.91,0,0.3241312341691281,8
14:33,Student,0,38.72,0,Sun,2019-03-24,1,37.1349,-77.7364,36.26155,-78.176857,38.72,0,0.9781321952318096,14
23:56,Teacher,0,24.82,0,Wed,2019-03-13,1,44.453,-123.1065,44.051771,-123.153621,24.82,0,0.403986508539581,23
10:24,Student,0,2.64,0,Fri,2019-05-03,1,38.1485,-98.6408,38.699669,-98.605815,2.64,0,0.5522782059668851,10
05:48,Doctor,0,43.09,0,Fri,2019-06-21,1,32.6205,-94.2,32.289998,-93.84484,43.09,0,0.4851496651591139,5
00:31,Freelancer,0,99.9,1,Sun,2019-09-01,1,40.1008,-80.0652,39.468111,-80.462964,99.9,0,0.747336316805891,0
19:34,Student,0,1.18,0,Sun,2020-05-31,1,30.9416,-83.3574,31.403540000000003,-82.737288,1.18,0,0.7732576906465216,19
22:25,Teacher,0,47.64,0,Mon,2020-03-09,1,37.3304,-121.7913,38.170002,-121.50991299999998,47.64,0,0.8854999504082494,22
21:34,Student,0,5.39,0,Sat,2020-05-16,1,29.8826,-84.5964,29.187751,-85.202066,5.39,0,0.9217626789781636,21
16:06,Student,0,23.78,0,Sun,2020-05-31,1,39.047,-122.9328,39.898946,-122.01176,23.78,0,1.254642047962692,16
08:38,Engineer,0,73.62,0,Sat,2020-03-14,1,41.1464,-81.5107,40.533255,-81.495937,73.62,0,0.6133227023305136,8
05:10,Student,0,3.34,0,Sun,2019-09-01,1,39.6747,-76.8941,39.5448,-77.673233,3.34,0,0.7898874867276999,5
15:11,Student,0,32.11,0,Mon,2019-10-28,1,39.5483,-119.7957,39.372921000000005,-120.385858,32.11,0,0.6156657036127643,15
20:44,Student,0,42.32,0,Mon,2019-08-05,1,44.1554,-72.4847,43.371907,-71.490868,42.32,0,1.2655288717658697,20
12:45,Freelancer,0,8.83,1,Tue,2019-06-18,1,34.0326,-82.2027,34.877029,-81.444337,8.83,0,1.1349778745905048,12
12:50,Teacher,0,28.54,0,Sat,2019-10-26,1,40.1362,-95.2138,40.494084,-94.564082,28.54,0,0.7417644080029778,12
14:41,Student,0,11.52,0,Fri,2020-03-06,1,39.1505,-79.503,38.17284,-79.679633,11.52,0,0.993487942699356,14
20:15,Student,0,62.79,0,Sat,2020-03-28,1,37.1046,-83.5706,37.604845000000005,-83.032309,62.79,0,0.7348484610489483,20
00:55,Freelancer,0,99.16,1,Tue,2020-05-19,1,29.479,-95.9681,30.019293,-96.366327,99.16,0,0.671193913394628,0
01:00,Engineer,0,50.7,0,Sun,2020-03-22,1,34.8838,-90.7666,34.029973,-90.232747,50.7,0,1.0069853879466164,1
02:16,Student,0,211.6,0,Mon,2020-05-25,1,40.6152,-74.415,41.323281,-73.55243,211.6,0,1.1159774672729772,2
12:16,Freelancer,0,111.58,1,Tue,2020-05-26,1,27.4703,-81.4872,27.554632,-82.292239,111.58,0,0.8094440547344762,12
22:58,Student,0,46.14,0,Sat,2019-04-20,1,40.6761,-91.0391,39.780073,-91.309479,46.14,0,0.9359322562931514,22
18:50,Student,0,15.12,0,Sat,2019-12-07,1,44.0575,-69.9656,43.410166,-70.066847,15.12,0,0.6552039854617805,18
19:56,Student,0,28.15,0,Mon,2019-07-15,1,32.69,-96.9177,32.998671,-95.957569,28.15,0,1.0085282957864805,19
04:47,Engineer,0,66.93,0,Sat,2019-11-30,1,35.9335,-84.1481,34.96907,-83.97833,66.93,0,0.9792584325907028,4
22:31,Student,0,21.08,0,Wed,2019-09-04,1,40.6866,-92.6833,41.465711,-91.995737,21.08,0,1.0391134823925618,22
10:44,Student,0,95.58,0,Sun,2019-03-03,1,32.5104,-86.8138,32.236827000000005,-87.53178199999999,95.58,0,0.768336084440256,10
03:51,Engineer,0,70.09,0,Mon,2019-07-15,1,40.0246,-79.6955,39.111755,-78.767656,70.09,0,1.3016068847240254,3
22:48,Freelancer,0,4.21,1,Fri,2020-02-07,1,30.459,-90.9027,30.462223,-91.286153,4.21,0,0.3834665447441305,22
20:47,Student,0,6.89,0,Thu,2019-10-17,1,43.6849,-71.2551,43.560719,-71.587383,6.89,0,0.3547293515484764,20
21:17,Student,0,7.68,0,Wed,2019-07-03,1,34.0287,-118.4924,33.185675,-118.907616,7.68,0,0.9397315985327918,21
18:43,Student,0,55.47,0,Sun,2019-07-14,1,38.8938,-86.5246,39.589728,-85.719142,55.47,0,1.0644615403799262,18
19:24,Student,0,20.3,0,Wed,2020-04-22,1,41.0935,-81.0425,41.702225,-80.516033,20.3,0,0.8048065778272511,19
12:57,Student,0,18.84,0,Sun,2020-02-23,1,34.7031,-86.3068,35.676574,-86.47747700000001,18.84,0,0.9883229568339542,12
09:12,Freelancer,0,15.1,1,Fri,2019-08-30,1,43.7588,-97.8712,44.660177,-98.247862,15.1,0,0.9769108241661524,9
